"","Date","SpotPrice"
"444","20160322","1.79"
"445","20160321","1.79"
"446","20160318","1.84"
"447","20160317","1.84"
"448","20160316","1.77"
"449","20160315","1.81"
"450","20160314","1.68"
"451","20160311","1.74"
"452","20160310","1.72"
"453","20160309","1.61"
"454","20160308","1.6"
"455","20160307","1.56"
"456","20160304","1.49"
"457","20160303","1.59"
"458","20160302","1.6"
"459","20160301","1.57"
"460","20160229","1.62"
"461","20160226","1.78"
"462","20160225","1.78"
"463","20160224","1.85"
"464","20160223","1.85"
"465","20160222","1.86"
"466","20160219","1.83"
"467","20160218","1.89"
"468","20160217","1.93"
"469","20160216","1.95"
"470","20160215","2.08"
"471","20160212","2.08"
"472","20160211","2.15"
"473","20160210","2.16"
"474","20160209","2.17"
"475","20160208","2.23"
"476","20160205","2.08"
"477","20160204","2.07"
"478","20160203","2.06"
"479","20160202","2.07"
"480","20160201","2.28"
"481","20160129","2.28"
"482","20160128","2.15"
"483","20160127","2.26"
"484","20160126","2.26"
"485","20160125","2.16"
"486","20160122","2.21"
"487","20160121","2.22"
"488","20160120","2.18"
"489","20160119","2.23"
"490","20160118","2.18"
"491","20160115","2.18"
"492","20160114","2.21"
"493","20160113","2.28"
"494","20160112","2.4"
"495","20160111","2.54"
"496","20160108","2.47"
"497","20160107","2.35"
"498","20160106","2.37"
"499","20160105","2.33"
"500","20160104","2.39"
"501","20160101","2.28"
"502","20151231","2.28"
"503","20151230","2.28"
"504","20151229","2.39"
"505","20151228","2.11"
"506","20151225","1.63"
"507","20151224","1.63"
"508","20151223","1.63"
"509","20151222","1.73"
"510","20151221","1.76"
"511","20151218","1.74"
"512","20151217","1.79"
"513","20151216","1.7"
"514","20151215","1.66"
"515","20151214","1.7"
"516","20151211","1.79"
"517","20151210","1.95"
"518","20151209","2"
"519","20151208","2.01"
"520","20151207","2.06"
"521","20151204","2.1"
"522","20151203","2.14"
"523","20151202","2.19"
"524","20151201","2.11"
"525","20151130","2.11"
"526","20151127","2.14"
"527","20151126","2.14"
"528","20151125","2.14"
"529","20151124","2.14"
"530","20151123","2.18"
"531","20151120","2.18"
"532","20151119","2.1"
"533","20151118","2.1"
"534","20151117","2.05"
"535","20151116","2.02"
"536","20151113","2.02"
"537","20151112","2.05"
"538","20151111","2.13"
"539","20151110","2.14"
"540","20151109","2.19"
"541","20151106","2.19"
"542","20151105","2.04"
"543","20151104","2.04"
"544","20151103","1.92"
"545","20151102","1.92"
"546","20151030","1.98"
"547","20151029","2.15"
"548","20151028","2.14"
"549","20151027","2.14"
"550","20151026","2.18"
"551","20151023","2.28"
"552","20151022","2.37"
"553","20151021","2.37"
"554","20151020","2.46"
"555","20151019","2.43"
"556","20151016","2.42"
"557","20151015","2.54"
"558","20151014","2.47"
"559","20151013","2.47"
"560","20151012","2.48"
"561","20151009","2.49"
"562","20151008","2.35"
"563","20151007","2.35"
"564","20151006","2.35"
"565","20151005","2.34"
"566","20151002","2.37"
"567","20151001","2.37"
"568","20150930","2.47"
"569","20150929","2.57"
"570","20150928","2.66"
"571","20150925","2.6"
"572","20150924","2.62"
"573","20150923","2.62"
"574","20150922","2.61"
"575","20150921","2.61"
"576","20150918","2.69"
"577","20150917","2.69"
"578","20150916","2.69"
"579","20150915","2.74"
"580","20150914","2.7"
"581","20150911","2.67"
"582","20150910","2.71"
"583","20150909","2.74"
"584","20150908","2.74"
"585","20150907","2.67"
"586","20150904","2.67"
"587","20150903","2.67"
"588","20150902","2.7"
"589","20150901","2.7"
"590","20150831","2.7"
"591","20150828","2.69"
"592","20150827","2.69"
"593","20150826","2.73"
"594","20150825","2.71"
"595","20150824","2.65"
"596","20150821","2.7"
"597","20150820","2.77"
"598","20150819","2.77"
"599","20150818","2.71"
"600","20150817","2.79"
"601","20150814","2.83"
"602","20150813","2.93"
"603","20150812","2.93"
"604","20150811","2.84"
"605","20150810","2.85"
"606","20150807","2.76"
"607","20150806","2.76"
"608","20150805","2.85"
"609","20150804","2.83"
"610","20150803","2.76"
"611","20150731","2.76"
"612","20150730","2.87"
"613","20150729","2.91"
"614","20150728","2.89"
"615","20150727","2.92"
"616","20150724","2.92"
"617","20150723","2.92"
"618","20150722","2.84"
"619","20150721","2.84"
"620","20150720","2.88"
"621","20150717","2.88"
"622","20150716","2.9"
"623","20150715","2.93"
"624","20150714","2.88"
"625","20150713","2.88"
"626","20150710","2.7"
"627","20150709","2.7"
"628","20150708","2.77"
"629","20150707","2.77"
"630","20150706","2.79"
"631","20150703","2.79"
"632","20150702","2.79"
"633","20150701","2.78"
"634","20150630","2.8"
"635","20150629","2.77"
"636","20150626","2.77"
"637","20150625","2.8"
"638","20150624","2.83"
"639","20150623","2.83"
"640","20150622","2.79"
"641","20150619","2.81"
"642","20150618","2.93"
"643","20150617","2.93"
"644","20150616","2.94"
"645","20150615","2.89"
"646","20150612","2.88"
"647","20150611","2.88"
"648","20150610","2.81"
"649","20150609","2.72"
"650","20150608","2.6"
"651","20150605","2.6"
"652","20150604","2.6"
"653","20150603","2.65"
"654","20150602","2.63"
"655","20150601","2.78"
"656","20150529","2.78"
"657","20150528","2.78"
"658","20150527","2.82"
"659","20150526","2.82"
"660","20150522","2.96"
"661","20150521","2.96"
"662","20150520","3.04"
"663","20150519","3.01"
"664","20150518","3.01"
"665","20150515","2.96"
"666","20150514","2.87"
"667","20150513","2.85"
"668","20150512","2.85"
"669","20150511","2.85"
"670","20150508","2.78"
"671","20150507","2.74"
"672","20150506","2.76"
"673","20150505","2.76"
"674","20150504","2.72"
"675","20150501","2.68"
"676","20150430","2.56"
"677","20150429","2.55"
"678","20150428","2.55"
"679","20150427","2.5"
"680","20150424","2.59"
"681","20150423","2.59"
"682","20150422","2.63"
"683","20150421","2.59"
"684","20150420","2.57"
"685","20150417","2.67"
"686","20150416","2.61"
"687","20150415","2.62"
"688","20150414","2.58"
"689","20150413","2.58"
"690","20150410","2.58"
"691","20150409","2.72"
"692","20150408","2.71"
"693","20150407","2.71"
"694","20150406","2.63"
"695","20150402","2.63"
"696","20150401","2.62"
"697","20150331","2.65"
"698","20150330","2.64"
"699","20150327","2.89"
"700","20150326","2.77"
"701","20150325","2.77"
"702","20150324","2.79"
"703","20150323","2.72"
"704","20150320","2.86"
"705","20150319","2.86"
"706","20150318","2.8"
"707","20150317","2.82"
"708","20150316","2.68"
"709","20150313","2.72"
"710","20150312","2.82"
"711","20150311","2.76"
"712","20150310","2.76"
"713","20150309","2.75"
"714","20150306","2.89"
"715","20150305","3.27"
"716","20150304","3.27"
"717","20150303","3"
"718","20150302","2.79"
"719","20150227","2.79"
"720","20150226","3.21"
"721","20150225","3.21"
"722","20150224","3.22"
"723","20150223","3.22"
"724","20150220","3.02"
"725","20150219","2.92"
"726","20150218","2.92"
"727","20150217","2.75"
"728","20150213","2.75"
"729","20150212","2.86"
"730","20150211","2.86"
"731","20150210","2.67"
"732","20150209","2.62"
"733","20150206","2.66"
"734","20150205","2.66"
"735","20150204","2.73"
"736","20150203","2.67"
"737","20150202","2.88"
"738","20150130","2.88"
"739","20150129","2.88"
"740","20150128","2.89"
